country,population,total_prod,solar,wind,hydro,geothermal,nuclear,others,solar_nic,wind_nic,hydro_nic,geothermal_nic,nuclear_nic
South Sudan,10975.927,571.0,3.0,0.0,0.0,0.0,0.0,568.0,8.4,0.0,3.0,0.0,0.0
South-Eastern Asia,655298.44,,,,,,,,,,,,
Southern Africa,65739.496,,,,,,,,,,,,
Southern Asia,1895813.9440000001,,,,,,,,,,,,
Southern Europe,152637.573,,,,,,,,,,,,
Spain,46692.858,263827.0,12744.0,50896.0,36803.0,0.0,55766.0,107618.0,7078.0,23460.0,20280.0,0.0,7117.0
Sri Lanka,21228.763,15373.66,186.296,326.33299999999997,6400.734,0.0,0.0,8460.296999999999,133.84,128.0,1793.0,0.0,0.0
State of Palestine,4862.979,420.4,60.0,0.0,0.0,0.0,0.0,360.4,40.0,0.0,0.0,0.0,0.0
Sub-Saharan Africa,1038627.178,,,,,,,,,,,,
Sudan,41801.532999999996,15919.7,0.0,0.0,9657.0,0.0,0.0,6262.700000000001,18.6,0.0,1907.0,0.0,0.0
Suriname,575.99,2209.52,4.4,0.0,999.7,0.0,0.0,1205.42,5.0,0.0,189.0,0.0,0.0
Sweden,9971.638,159677.0,407.0,16623.0,62250.0,0.0,68549.0,11848.0,428.0,7300.0,16431.0,0.0,8656.0
Switzerland,8525.610999999999,67449.0,1944.0,122.0,37803.0,0.0,25513.0,2067.0,2171.0,75.0,15542.0,0.0,3333.0
Syrian Arab Republic,16945.057,16129.0,0.0,0.0,754.0,0.0,0.0,15375.0,1.0,1.0,1490.0,0.0,0.0
Tajikistan,9100.835,19538.0,0.0,0.0,18394.4,0.0,0.0,1143.5999999999985,0.0,0.0,5900.0,0.0,0.0
Thailand,69428.453,179474.0,4537.0,1641.0,7565.0,1.0,0.0,165730.0,4029.0,1102.82,3667.38,0.3,0.0
